	hCiPSCs_2_corr	hCiPSCs_2_pval	hCiPSCs_2_qval	hCiPSCs_2_ci_low	hCiPSCs_2_ci_high
VRTN	0.15173934245086848	1.4312487646439236e-42	1.4814548731419043e-41	0.13025880984673946	0.1730774958561767
CENPW	0.15141535613915905	2.1506647141205962e-42	2.2145125728210514e-41	0.12993281706765017	0.17275580573634025
PCNA	0.1513540659585423	2.3226568520802114e-42	2.379218961949522e-41	0.129871147835532	0.17269494942622185
SPINT1	0.1512204959325936	2.7463220378191545e-42	2.7987003447260144e-41	0.12973675231636533	0.17256232437217442
TUBB	0.15095567627949885	3.826664721643127e-42	3.8796493100966475e-41	0.12947029835135992	0.1722993759586889
TOMM7	0.15068413183965013	5.3736841088138534e-42	5.420292593431117e-41	0.1291970813201412	0.17202974711773045
COX5B	0.1505602289361827	6.272780617683485e-42	6.295069685868146e-41	0.12907241631452404	0.17190671721948667
PARK7	0.15003208865445444	1.2111547548683297e-41	1.209319671906408e-40	0.12854103516469842	0.17138229068311658
TKT	0.14908336231105013	3.9250035601576747e-41	3.899362833382775e-40	0.1275865180722163	0.17044020514809533
COX7B	0.14874807123849657	5.935990365764294e-41	5.867726476558005e-40	0.12724919000356866	0.17010725167771373
COX7A2	0.1484625778282534	8.435863866908294e-41	8.297364609391889e-40	0.1269619660534067	0.16982374484317625
DHCR24	0.14804081916462247	1.4159765310947244e-40	1.3858344564229059e-39	0.126537657465354	0.1694049144724615
MORF4L1	0.14795306056036273	1.57679022340855e-40	1.5356227939303956e-39	0.12644936926748424	0.16931776421096464
MAD2L1	0.14704166076862704	4.7999477750100295e-40	4.651714093722955e-39	0.12553248962568628	0.1684126624904917
RP11-69I8.2	0.1466995038181628	7.276617537495395e-40	7.017498961769949e-39	0.12518828492054382	0.16807286065249558
KLRG2	0.146327357733475	1.1427713858263666e-39	1.0967276843586053e-38	0.12481391747991682	0.16770327033291924
HMGB2	0.14624436880072975	1.2635810424879374e-39	1.2068114594196388e-38	0.12473043401799531	0.16762085051884335
DPPA5	0.14614051783498017	1.4327870352826126e-39	1.3618365234392907e-38	0.12462596463579578	0.16751771131776283
LCP1	0.1459785968732691	1.742600036738831e-39	1.6483829055658702e-38	0.12446308041147769	0.16735689918219804
STMN1	0.14588907619663613	1.9415917428747857e-39	1.82786994079212e-38	0.12437302767699655	0.1672679910500836
EIF4A1	0.14559968020568778	2.7527148280761097e-39	2.57920247161444e-38	0.12408191411279142	0.1669805728699506
H2AFZ	0.14530246155749213	3.936721516860797e-39	3.6711785088838663e-38	0.12378293531931246	0.1666853817121817
DNMT3L	0.14446008164575716	1.0806666945238625e-38	1.0030413404101767e-37	0.12293558801547123	0.16584872730590888
HNRNPA1	0.14438631990369755	1.1802294418312364e-38	1.090333460981474e-37	0.1228613928054245	0.16577546544306734
